,r,E,fci_E,error,n_iters
0,1,-7.78446020718735,-7.78446028026705,7.30796996251115E-08,54
1,1.25,-7.86186143337268,-7.86186144064564,7.27296090019536E-09,54
2,1.546,-7.88276166925583,-7.88276184874591,1.79490080576272E-07,45
3,1.75,-7.87718699369723,-7.87718700226367,8.56643911362198E-09,54
4,2,-7.86108744148854,-7.8610877724111,3.30922559577118E-07,46
5,2.25,-7.84181784747308,-7.84181785937682,1.19037375512221E-08,52
6,2.5,-7.82372388215059,-7.82372388338938,1.23878507451991E-09,57
7,2.75,-7.80916229634234,-7.80916229761059,1.2682477290582E-09,55
8,3,-7.79884311489216,-7.79884315945517,4.45630101708616E-08,49
9,3.25,-7.79218445139775,-7.79218447197325,2.05755057436363E-08,49
10,3.5,-7.78811511286352,-7.78811512326022,1.03966995013138E-08,48
